TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201500A,622000,Hospitals,252,$1183265509.60
201200A,484200,Specialized freight trucking (including household moving vans),152,$14961131.00
201200A,532310,General rental centers,75,$24850535.88
201400A,441210,Recreational vehicle dealers (including motor home & travel trailer dealers),8,$749780.00
200700A,424800,"Beer, wine, & distilled alcoholic beverage",45,$29585531.00
201200A,323100,Printing & related support activities,1005,$424308309.35
200800A,424950,"Paint, varnish, & supplies",75,$129223829.00
200800A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",616,$116122567.75
201700A,523120,Securities brokers,1,$0.00
201500A,541930,Translation & interpretation services,346,$58924601.47
201500A,441120,Used car dealers,1028,$368464421.00
200500A,448320,Luggage & leather goods stores,37,$11375397.00
201300A,999999,Unclassified establishments (unable to classify),1763,$134068475.53
200500A,446110,Pharmacies & drug stores,430,$2256774699.00
200500A,233220,Multifamily Housing Construction (1997 NAICS),653,$802018739.73
201300A,541100,Legal services,6907,$8672476556.33
201600A,448110,Men's clothing stores,441,$154515989.00
201700A,238990,All other specialty trade contractors,150,$119098590.00
201200A,453930,Manufacture (mobile) home dealers,50,$19485928.00
200500A,541910,Market research & public opinion polling,68,$123931438.00
201700A,453110,Florists,8,$166751.00
200600A,424500,Farm product raw materials,39,$62670968.00
201400A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",402,$1901557692.51
201000A,424910,Farm supplies,15,$16033244.00
201300A,621610,Home health care services,3059,$275132475.42
201600A,221000,Utilities,1,$0.00
201300A,424700,Petroleum & petroleum products,59,$1041157235.00
200500A,443120,Computer & software stores,578,$422876782.76
201500A,453220,"Gift, novelty, & souvenir stores",1286,$294218339.14
201400A,999999,Unclassified establishments (unable to classify),2066,$145625407.56
201600A,443111,Household appliance stores,430,$241517840.00
201700A,711510,"Independent artists, writers, & performers",1053,$44322897.00
200500A,531390,Other activities related to real estate,166,$95930862.36
201000A,541990,"All other professional, scientific, & technical services",6618,$924221007.01
201300A,454310,Fuel dealers,86,$669030247.00
200500A,425120,Wholesale trade agents & brokers,208,$262710672.66
201600A,812111,Barber shops,2917,$119530019.34
201100A,611000,"Educational services (including schools, colleges, & universities)",2648,$632722652.91
200500A,323100,Printing & related support activities,574,$493039576.48
201700A,233220,Multifamily Housing Construction (1997 NAICS),25,$3424119.00
201300A,811430,Footwear & leather goods repair,169,$7099877.00
201600A,324100,Petroleum & coal products mfg.,18,$14664628.00
201600A,443130,Camera & photographic supplies stores,99,$18221115.00
201700A,423600,Electrical & electronic goods,19,$950754.00
200800A,233210,Single Family Housing Construction (1997 NAICS),5073,$1158431509.49
201400A,624310,Vocational rehabilitation services,81,$18484590.00
201200A,524210,Insurance agencies & brokerages,982,$508544867.72
201600A,561430,Business service centers (including private mail centers & copy shops),343,$83854321.00
201100A,532100,Automotive equipment rental & leasing,311,$550098561.00
201000A,518210,"Data processing, hosting, & related services",512,$443382490.50
201600A,812330,Linen & uniform supply,59,$82112761.00
201200A,423500,Metal & mineral (except petroleum),254,$307737799.00
200800A,813000,"Religious, grantmaking, civic, professional, & similar organizations",64,$5202513.00
201000A,446120,"Cosmetics, beauty supplies, & perfume stores",682,$205488602.00
201000A,561790,Other services to buildings & dwellings,1442,$37341358.00
201300A,454112,Electronic auctions,28,$1107333.00
201300A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",694,$1172763809.62
201500A,322000,Paper mfg.,77,$47166476.00
201500A,485300,Taxi & limousine service,2319,$6160711.00
200600A,541510,Computer systems design & related services,1235,$466807147.57
201700A,812190,Other personal care services (including diet & weight reducing centers),35,$790764.00
200800A,522200,Nondepository credit intermediation (including sales financing & consumer lending),428,$137949457.00
201700A,624100,Individual & family services,69,$3783397.00
201400A,812190,Other personal care services (including diet & weight reducing centers),944,$53417229.02
201200A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3306,$1247253635.69
201000A,541214,Payroll services,62,$10474899.00
200800A,541100,Legal services,5011,$6845842442.01
201000A,313000,Textile mills,86,$27579677.92
201000A,311800,Bakeries & tortilla mfg.,422,$99190329.00
200600A,621610,Home health care services,514,$91244340.00
201100A,446190,Other health & personal care stores,478,$210642502.00
201700A,444130,Hardware stores,6,$231248.00
201200A,711210,Spectator sports (including professional sports clubs & racetrack operations),444,$531429774.70
201600A,621399,Offices of all other miscellaneous health practitioners,2767,$1051082709.63
201200A,423930,Recyclable materials,306,$292027643.00
201700A,322000,Paper mfg.,2,$0.00
201600A,441120,Used car dealers,1035,$405331763.00
201000A,621310,Offices of chiropractors,569,$76291144.00
201300A,314000,Textile product mills,566,$341356390.00
201400A,441229,All other motor vehicle dealers,428,$718161205.00
201100A,235210,Painting and Wall Covering Contractors (1997 NAICS),1789,$372313582.50
201300A,484200,Specialized freight trucking (including household moving vans),177,$15966908.00
200900A,812210,Funeral homes & funeral services,53,$21605699.00
201000A,443112,"Radio, television, & other electronics stores",699,$280334662.00
201200A,611000,"Educational services (including schools, colleges, & universities)",2940,$723305869.16
201400A,446190,Other health & personal care stores,667,$338398832.25
201600A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1287,$598215372.00
201700A,541930,Translation & interpretation services,30,$457075.00
201700A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",74,$2195596.00
201500A,561720,Janitorial services,11992,$496158002.61
201500A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),476,$111237948.00
201300A,523110,Investment bankers & securities dealers,104,$344525704.00
200500A,234990,Other Heavy and Civil Engineering Construction,40,$38324522.18
200800A,532230,Video tape & disc rental,82,$6470481.00
200700A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",91,$29343193.00
200500A,423400,Professional & commercial equipment & supplies,770,$1389376163.04
200900A,235930,Excavation Contractors (1997 NAICS),54,$82402180.00
201200A,621340,"Offices of physical, occupational & speech therapists, & audiologists",795,$70045646.34
201400A,423990,Other miscellaneous durable goods,2455,$1005596161.92
201300A,336000,Transportation equipment mfg.,88,$117305960.00
200700A,532400,Commercial & industrial machinery & equipment rental & leasing,217,$591632293.66
201300A,448320,Luggage & leather goods stores,109,$77357576.00
201000A,516110,Internet publishing & broadcasting,802,$128804548.26
201400A,523110,Investment bankers & securities dealers,109,$209458212.00
200800A,443120,Computer & software stores,723,$1047844200.00
200700A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",398,$176803831.45
200800A,443112,"Radio, television, & other electronics stores",650,$306307620.00
201000A,524290,Other insurance related activities,141,$81985476.00
201500A,424400,Grocery & related products,1503,$5898059538.07
200500A,423600,Electrical & electronic goods,968,$1600435433.45
201700A,454111,Electronic shopping,32,$634104.00
200500A,424940,Tobacco & tobacco products,56,$84368318.17
200900A,454210,Vending machine operators,226,$60389437.50
200900A,448150,Clothing accessories stores,620,$188804523.00
200600A,444120,Paint & wallpaper stores,63,$21311702.00
200900A,561300,Employment services,5596,$1527892757.58
200800A,448310,Jewelry stores,742,$191202178.00
200500A,332000,Fabricated metal product mfg.,135,$287745373.77
201000A,446190,Other health & personal care stores,426,$218976153.00
201100A,541214,Payroll services,69,$11557035.00
201600A,561500,Travel arrangement & reservation services,5149,$841105957.24
201100A,337000,Furniture & related product mfg.,244,$102566984.93
201200A,532220,Formal wear & costume rental,133,$32645030.00
200700A,441110,New car dealers,330,$3827884955.00
201000A,519100,Other information services (including news syndicates and libraries),423,$123701137.94
201100A,811110,Automotive mechanical & electrical repair & maintenance,1480,$126276515.23
201500A,561450,Credit bureaus,29,$2297001.00
200900A,335000,"Electrical equipment, appliance, & component mfg.",255,$80538634.00
200700A,238990,All other specialty trade contractors,1438,$414839666.60
201400A,313000,Textile mills,183,$60238609.00
200500A,523130,Commodity contracts dealers,6,$353326.00
200700A,424940,Tobacco & tobacco products,146,$85407483.00
201000A,511000,Publishing industries (except Internet),222,$176489408.03
201700A,235920,Glass and Glazing Contractors (1997 NAICS),7,$4430673.00
201000A,443120,Computer & software stores,843,$1081133604.00
200700A,524290,Other insurance related activities,86,$82967637.00
201000A,484200,Specialized freight trucking (including household moving vans),107,$4920046.00
200800A,453910,Pet & pet supplies stores,82,$49790001.00
200500A,451130,"Sewing, needlework, & piece goods stores",40,$15899066.00
201100A,336000,Transportation equipment mfg.,75,$90077737.00
201500A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1304,$547844500.31
201100A,621320,Offices of optometrists,161,$45293633.00
200800A,235310,Electrical Contractors (1997 NAICS),1569,$442801105.61
201400A,451211,Book stores,458,$107756573.00
200500A,441229,All other motor vehicle dealers,257,$683021809.79
201400A,621610,Home health care services,3645,$363663035.32
201500A,812310,Coin-operated laundries & drycleaners,675,$116406355.00
200800A,812910,Pet care (except veterinary) services,179,$18234610.76
201400A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",3716,$1260251419.17
201000A,453310,Used merchandise stores,220,$32091356.00
201400A,519100,Other information services (including news syndicates and libraries),749,$199358854.49
201200A,532100,Automotive equipment rental & leasing,342,$697342612.00
200500A,238340,Tile & terrazzo contractors,182,$40246858.64
200500A,314000,Textile product mills,220,$190603570.00
200800A,812330,Linen & uniform supply,29,$100156663.00
201000A,561500,Travel arrangement & reservation services,6141,$618287350.32
201600A,812210,Funeral homes & funeral services,57,$28207593.00
201300A,561110,Office administrative services,1657,$829192003.66
201600A,517000,Telecommunications,193,$1355354197.00
200800A,624100,Individual & family services,593,$34873860.00
200600A,611000,"Educational services (including schools, colleges, & universities)",1420,$385730645.25
201500A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",102,$117744982.00
201500A,441222,Boat dealers,32,$1985549.00
200700A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",2241,$1011667489.50
200700A,,,279710,$56988318691.04
201000A,235210,Painting and Wall Covering Contractors (1997 NAICS),1798,$479931378.00
201000A,424940,Tobacco & tobacco products,227,$127996891.00
201600A,623000,Nursing & residential care facilities,656,$758978973.60
200700A,711100,Performing arts companies,206,$219056477.12
200500A,424990,Other miscellaneous nondurable goods,2255,$1597805191.92
200600A,335000,"Electrical equipment, appliance, & component mfg.",65,$23783416.63
200900A,541340,Drafting services,110,$2421067.29
201300A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,309,$160995113.04
201000A,621330,Offices of mental health practitioners (except physicians),646,$43893054.50
200900A,561440,Collection agencies,109,$82386508.00
201400A,561720,Janitorial services,11259,$486894985.17
